,Sex,Education,Marital Status,Age,Credit Limit,Payment Score,Avg Outstanding,Avg Paid,PaySep,PayAug,PayJul,PayJun,PayMay,PayApr,Outstanding/Sept05,Outstanding/Aug05,Outstanding/Jul05,Outstanding/Jun05,Outstanding/May05,Outstanding/Apr05,Paid/Sept05,Paid/Aug05,Paid/Jul05,Paid/Jun05,Paid/May05,Paid/Apr05
3967,F,BSc,Married,37,20000,1.6666666666666667,18800.5,1180.0,3,1,1,3,1,1,16429,17450,20358,19722,19616,19228,1300,3200,0,830,750,1000
3968,F,BSc,Single,37,290000,1.3333333333333333,148986.0,7812.0,3,1,1,1,1,1,140599,143963,152434,156413,156189,144318,13010,11430,6900,5320,5232,4980
3969,F,BSc,Single,36,360000,-0.6666666666666666,70.33333333333333,171.33333333333334,-1,-1,-1,0,0,-1,-149,-149,-4,585,139,0,0,145,744,139,0,0
3970,F,MSc or PHd,Married,42,100000,1.6666666666666667,70747.66666666667,3059.0,3,3,1,1,1,1,99184,99340,64054,59014,55249,47645,3000,3039,3315,3000,3000,3000
3971,F,High School Diploma,Single,49,200000,0.0,721.3333333333334,1843.8333333333333,2,-1,0,0,0,-1,0,0,3614,714,0,0,0,3614,721,0,0,6728
3972,F,High School Diploma,Married,48,60000,0.0,4905.666666666667,4670.0,0,0,0,0,0,0,4823,5471,8422,4377,3910,2431,5491,9683,4377,3918,2431,2120
3973,F,MSc or PHd,Married,30,50000,1.5,35320.333333333336,1104.3333333333333,2,3,1,1,1,1,49061,46783,42977,36737,19865,16499,1406,2000,1317,700,599,604
3974,F,High School Diploma,Single,39,50000,2.0,18544.166666666668,862.3333333333334,3,3,1,1,3,1,20039,19369,16586,18696,18100,18475,0,1280,2390,0,816,688
3975,F,MSc or PHd,Single,25,200000,3.1666666666666665,140763.66666666666,4850.0,2,3,4,3,4,3,133797,144095,140383,146531,142795,136981,14000,0,10000,0,0,5100
3976,F,MSc or PHd,Married,31,140000,1.6666666666666667,115262.83333333333,6668.666666666667,3,3,1,1,1,1,159164,154983,116592,89475,83630,87733,0,5012,5000,5000,5000,20000
3977,F,High School Diploma,Married,48,30000,1.3333333333333333,17582.833333333332,1393.8333333333333,1,1,1,1,1,3,14834,15844,18883,17901,19241,18794,1261,3300,1301,1641,0,860
3978,F,BSc,Married,44,100000,2.3333333333333335,79298.0,2642.8333333333335,2,3,1,1,4,3,76725,74901,76094,84457,82525,81086,0,3000,9657,0,0,3200
3979,F,BSc,Married,43,20000,3.0,13087.666666666666,1200.0,2,3,4,3,3,3,11501,12998,13492,12978,13962,13595,2000,1000,0,1200,0,3000
3980,F,High School Diploma,Married,48,50000,1.0,43704.166666666664,2088.1666666666665,1,1,1,1,1,1,41842,42422,43050,43650,45217,46044,1984,2019,2026,3000,2000,1500
3981,F,BSc,Married,42,120000,3.3333333333333335,29017.333333333332,1350.0,3,3,4,3,3,4,25809,29366,28615,29347,30868,30099,4300,0,1500,2300,0,0
3982,F,BSc,Single,36,150000,1.8333333333333333,76178.33333333333,2150.5,2,3,1,1,3,1,93658,84029,77836,75277,66249,60021,0,3000,6000,0,2066,1837
3983,F,BSc,Married,36,50000,3.3333333333333335,49315.166666666664,1750.0,4,3,3,3,4,3,47222,48142,48082,51969,50865,49611,2000,1000,5000,0,0,2500
3984,F,MSc or PHd,Married,43,50000,1.3333333333333333,39964.666666666664,1681.1666666666667,1,1,1,1,1,3,49819,49390,50612,29975,30559,29433,2227,2449,1778,2382,0,1251
3985,F,High School Diploma,Married,46,50000,2.3333333333333335,34865.333333333336,1203.1666666666667,3,3,3,3,1,1,46677,48101,49060,47086,9306,8962,2500,2400,4,503,1109,703
3986,F,MSc or PHd,Single,33,180000,0.5,466.0,466.0,3,0,0,0,0,0,416,416,416,416,150,982,416,416,416,150,982,416
3987,F,BSc,Single,48,20000,3.0,17240.166666666668,682.0,2,4,3,3,3,3,17100,16537,16283,17708,18121,17692,0,300,2000,1000,0,792
3988,F,BSc,Single,44,130000,2.3333333333333335,77960.33333333333,3733.3333333333335,3,1,1,3,3,3,72181,73086,78411,79725,81311,83048,2700,6500,3200,3500,3200,3300
3989,F,High School Diploma,Married,46,100000,3.0,45647.5,1650.0,3,3,3,3,3,3,43677,42674,45983,46927,47759,46865,0,4000,2000,1900,0,2000
3990,F,High School Diploma,Married,46,50000,2.1666666666666665,5455.833333333333,2138.0,2,3,0,4,3,1,8354,6024,116,116,9982,8143,0,116,0,10040,400,2272
3991,F,BSc,Single,47,30000,3.0,16820.666666666668,1050.0,3,3,3,3,3,3,15089,16039,17080,17302,17521,17893,1500,1600,800,800,800,800
3992,F,High School Diploma,Married,43,70000,1.5,60200.833333333336,12483.666666666666,3,3,1,0,1,1,85863,78125,68899,69131,29289,29898,0,1378,70000,1185,1220,1119
3993,F,High School Diploma,Married,36,20000,1.3333333333333333,14863.166666666666,1140.1666666666667,1,1,3,1,1,1,14822,17216,17541,18300,19100,2200,3641,900,1200,1000,100,0
3994,F,BSc,Married,44,140000,1.0,89979.0,6041.666666666667,1,1,1,1,1,1,127254,109717,81545,81454,60176,79728,6050,3700,2000,3000,20000,1500
3995,F,MSc or PHd,Single,31,20000,2.8333333333333335,7772.833333333333,862.3333333333334,4,3,3,3,3,1,6186,5941,8541,8560,8274,9135,0,2869,305,0,1000,1000
3996,F,BSc,Married,32,30000,0.3333333333333333,14324.166666666666,3469.5,1,1,1,1,-1,-1,17168,28655,29239,9435,724,724,12155,2000,1920,724,724,3294
3997,F,BSc,Single,34,30000,1.5,28436.0,1080.1666666666667,2,3,1,1,1,1,29678,28878,26758,27462,28014,29826,0,1751,1455,1007,2268,0
3998,F,BSc,Married,39,260000,2.0,221734.16666666666,8268.333333333334,3,3,1,1,3,1,238601,228443,233958,252615,186443,190345,0,10698,24799,0,7035,7078
3999,F,BSc,Married,43,30000,3.0,25473.0,968.3333333333334,3,3,3,3,3,3,28264,28703,26622,24022,24368,20859,2000,1300,2,1608,0,900
4000,F,MSc or PHd,Married,33,120000,0.6666666666666666,14451.333333333334,2004.3333333333333,1,1,1,0,0,1,35563,25614,19747,1201,2333,2250,1426,6400,1500,2700,0,0
4001,F,BSc,Married,38,100000,1.0,68735.16666666667,3190.0,1,1,1,1,1,1,88231,91090,95935,78939,28667,29549,4326,7400,2914,1500,1500,1500
4002,F,BSc,Single,44,70000,0.8333333333333334,55547.666666666664,17259.166666666668,1,1,1,0,1,1,79696,75167,75183,69385,30103,3752,3100,1600,94540,1124,100,3091
4003,F,BSc,Married,46,20000,1.5,14338.666666666666,1186.8333333333333,2,3,1,1,1,1,13254,12749,13834,14894,15050,16251,0,1600,1600,700,1601,1620
4004,F,BSc,Married,43,90000,1.1666666666666667,585.0,390.0,3,0,3,0,1,0,390,780,390,780,390,780,780,0,780,0,780,0
4005,F,High School Diploma,Single,44,170000,0.16666666666666666,1909.1666666666667,1909.1666666666667,2,0,0,0,0,-1,0,4142,2260,5053,0,0,4142,2260,5053,0,0,0
4006,F,BSc,Married,40,140000,0.16666666666666666,1860.3333333333333,1728.1666666666667,0,0,0,0,0,1,815,8397,390,390,780,390,8419,390,390,780,0,390
4007,F,High School Diploma,Single,46,10000,1.6666666666666667,3434.5,1345.0,2,3,0,3,1,1,4474,189,3510,3306,3551,5577,0,3510,0,300,2260,2000
4008,F,BSc,Married,30,60000,2.1666666666666665,16438.0,1216.6666666666667,2,3,1,1,3,3,14135,13616,16065,18092,17504,19216,0,3000,2300,0,2000,0
4009,F,BSc,Married,33,250000,1.1666666666666667,833.3333333333334,0.0,4,3,3,-1,-1,-1,2500,2500,0,0,0,0,0,0,0,0,0,0
4010,F,High School Diploma,Married,39,120000,3.5,54324.166666666664,2609.6666666666665,3,3,3,3,5,4,49437,51505,53582,58310,57150,55961,3500,3500,6200,358,0,2100
4011,F,High School Diploma,Single,41,50000,3.0,24952.666666666668,1100.0,3,3,3,3,3,3,23043,24064,24981,25473,25857,26298,1700,1600,1200,1100,1000,0
4012,F,BSc,Married,43,50000,0.3333333333333333,6183.333333333333,416.6666666666667,1,1,1,1,-1,-1,17870,9230,10000,0,0,0,1500,1000,0,0,0,0
4013,F,BSc,Married,28,80000,1.3333333333333333,27055.666666666668,920.3333333333334,3,1,1,1,1,1,52062,49884,22348,22063,8723,7254,2158,1708,1411,4,21,220
4014,F,BSc,Married,45,560000,1.0,366803.8333333333,12730.5,1,1,1,1,1,1,374663,382010,379652,387706,334908,341884,13195,13510,14292,11553,12130,11703
4015,F,MSc or PHd,Married,37,240000,1.0,204854.16666666666,8157.666666666667,1,1,1,1,1,1,173677,176304,355496,176402,174440,172806,8000,9500,12448,6155,6453,6390
4016,F,BSc,Single,36,90000,-0.5,0.0,583.3333333333334,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,3500
4017,F,BSc,Married,33,40000,2.8333333333333335,25415.666666666668,1300.0,2,3,3,3,3,3,23734,24644,25749,26127,26401,25839,1600,1800,1100,1000,0,2300
4018,F,BSc,Single,32,90000,2.5,29257.166666666668,1325.0,4,3,3,3,1,1,27565,28613,29364,28596,30120,31285,1800,1500,0,2000,1650,1000
4019,F,BSc,Married,40,20000,1.0,5812.666666666667,947.8333333333334,1,1,1,1,1,1,4314,5190,6554,6895,5844,6079,1500,2000,1032,155,1000,0
4020,F,BSc,Married,41,110000,3.0,26856.666666666668,1616.6666666666667,3,3,3,3,3,3,23078,25883,25182,28945,28183,29869,3200,0,4200,0,2300,0
4021,F,BSc,Married,43,50000,1.6666666666666667,20261.166666666668,1333.3333333333333,1,1,3,3,1,1,17102,19805,21188,20550,21209,21713,3000,2000,0,1000,1000,1000
4022,F,BSc,Married,36,100000,2.5,33671.333333333336,1750.0,2,3,3,3,3,1,32196,31379,33862,35007,34147,35437,0,3000,2000,0,2000,3500
4023,F,BSc,Single,37,20000,1.8333333333333333,17149.333333333332,779.0,2,3,1,1,1,3,16174,15617,16646,17648,18819,17992,0,1285,1287,1458,0,644
4024,F,BSc,Married,35,20000,2.3333333333333335,8638.0,884.0,3,1,1,3,3,3,5890,7282,9455,9154,10001,10046,1500,2454,0,1000,350,0
4025,F,High School Diploma,Married,42,50000,2.0,34645.333333333336,1830.6666666666667,3,1,1,1,3,3,31422,32420,33462,36199,36803,37566,1521,1563,3300,1500,1500,1600
4026,F,BSc,Married,38,110000,2.0,43271.166666666664,1766.6666666666667,3,3,1,1,1,3,41619,40650,41744,42783,47476,45355,0,1750,1750,5400,700,1000
4027,F,BSc,Married,48,60000,1.0,39950.666666666664,1350.0,1,1,1,1,1,1,50806,50980,51874,51808,16941,17295,2000,2100,1400,600,1000,1000
4028,F,MSc or PHd,Single,40,200000,2.0,187074.33333333334,6345.666666666667,3,3,1,1,1,3,185696,181236,185410,189069,197736,183299,0,8600,8300,13257,917,7000
4029,F,BSc,Married,44,50000,1.0,5450.5,666.6666666666666,1,1,1,1,1,1,3351,4368,5391,6401,6528,6664,1077,1100,1106,233,241,243
4030,F,MSc or PHd,Married,35,50000,2.0,47300.333333333336,2616.6666666666665,1,1,3,3,3,1,44487,47438,46400,49276,48286,47915,4000,0,3700,0,2000,6000
4031,F,MSc or PHd,Single,35,120000,0.16666666666666666,2248.6666666666665,2298.6666666666665,2,-1,0,0,0,0,0,0,234,4394,3164,5700,0,234,4394,3164,5700,300
4032,F,MSc or PHd,Single,35,120000,0.16666666666666666,2114.1666666666665,1776.6666666666667,0,0,0,0,1,0,2776,2549,2558,2577,249,1976,2549,2558,2577,0,1976,1000
4033,F,BSc,Single,34,70000,1.3333333333333333,56979.166666666664,2121.6666666666665,3,1,1,1,1,1,71332,71122,70012,66541,31609,31259,2744,3239,3405,1085,1102,1155
4034,F,BSc,Married,40,170000,1.0,3940.5,3325.0,3,0,3,0,0,0,193,3760,3500,7190,9000,0,3760,0,7190,9000,0,0
4035,F,BSc,Married,36,100000,1.3333333333333333,98221.16666666667,5867.166666666667,3,1,1,1,1,1,101483,101638,101461,101461,91752,91532,4500,5000,4000,3300,3400,15003
4036,F,BSc,Married,42,30000,1.6666666666666667,27651.5,2134.5,3,3,1,1,1,1,30149,28117,27761,28053,28249,23580,0,2000,1507,3100,3100,3100
4037,F,BSc,Married,40,80000,0.3333333333333333,27180.666666666668,633.3333333333334,3,1,1,-1,-1,-1,80934,82150,0,0,0,0,3800,0,0,0,0,0
4038,F,BSc,Married,49,260000,0.5,8332.166666666666,4798.5,0,0,0,1,1,1,8046,2184,15475,10981,8566,4741,2184,15482,2000,3000,1000,5125
4039,F,High School Diploma,Married,39,20000,3.3333333333333335,15775.333333333334,833.3333333333334,3,4,3,3,4,3,15307,14769,15232,16677,16119,16548,0,1000,2000,0,1000,1000
4040,F,MSc or PHd,Single,31,160000,0.5,1262.5,1031.6666666666667,0,3,0,0,0,0,1494,696,1395,898,894,2198,2,1399,903,896,2204,786
4041,F,MSc or PHd,Married,35,290000,-0.16666666666666666,2596.8333333333335,1377.0,-1,-1,-1,0,1,1,0,0,0,2262,5205,8114,0,0,2262,3000,3000,0
4042,F,BSc,Married,30,30000,1.3333333333333333,26597.333333333332,1633.5,1,1,1,1,3,1,24061,25156,25949,28478,27754,28186,1800,1500,3000,0,1001,2500
4043,F,High School Diploma,Married,30,80000,3.0,42858.166666666664,1850.0,3,3,3,3,3,3,40654,41687,42719,43018,44013,45058,2000,2000,1300,2000,1900,1900
4044,F,MSc or PHd,Married,32,80000,1.5,4024.3333333333335,807.3333333333334,0,4,3,0,1,1,4927,4693,3342,4844,3728,2612,0,0,4844,0,0,0
4045,F,MSc or PHd,Single,33,180000,3.0,126258.16666666667,5450.0,3,3,3,3,3,3,118656,125175,126899,127336,125273,134210,10000,5200,4000,1500,11000,1000
4046,F,BSc,Single,31,30000,2.8333333333333335,28637.0,1285.1666666666667,4,3,3,3,3,1,29078,28312,29733,29183,28082,27434,0,1900,2600,11,1500,1700
4047,F,MSc or PHd,Single,32,180000,1.3333333333333333,14215.333333333334,1384.0,0,0,3,3,1,1,10831,17816,18247,33230,5168,0,7201,1000,0,103,0,0
4048,F,MSc or PHd,Single,29,120000,0.6666666666666666,421.3333333333333,341.0,0,3,0,0,1,0,632,316,316,632,316,316,0,316,632,0,316,782
4049,F,BSc,Single,30,80000,3.6666666666666665,61639.0,2800.0,3,3,3,3,5,5,56761,58920,60385,64876,65245,63647,3700,3000,6100,2000,0,2000
4050,F,MSc or PHd,Single,34,200000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4051,F,MSc or PHd,Married,44,230000,0.16666666666666666,6535.333333333333,2691.6666666666665,0,0,-1,0,1,1,756,0,0,11660,11898,14898,0,0,11660,238,3000,1252
4052,F,MSc or PHd,Married,37,360000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4053,F,BSc,Married,47,130000,3.0,127533.5,4367.0,3,3,3,3,3,3,123896,120452,129137,129956,130946,130814,0,12200,4500,4502,5000,0
4054,F,BSc,Married,41,80000,-0.16666666666666666,390.0,556.6666666666666,0,0,0,0,-1,0,390,390,390,-390,0,1560,390,780,0,390,1780,0
4055,F,BSc,Married,46,10000,2.8333333333333335,8901.5,840.1666666666666,2,3,3,3,3,3,7660,8689,8403,9505,8889,10263,1306,0,1735,0,2000,0
4056,F,BSc,Single,30,100000,2.3333333333333335,99747.33333333333,3636.0,3,3,3,3,1,1,96604,94153,102623,100090,101511,103503,0,10000,0,4000,7816,0
4057,F,MSc or PHd,Married,47,300000,0.0,558.3333333333334,597.1666666666666,0,0,0,0,0,0,514,2392,148,148,148,0,2392,148,148,148,0,747
4058,F,BSc,Married,35,250000,1.3333333333333333,45894.666666666664,1641.0,3,1,1,1,1,1,92966,37341,38905,35356,34978,35822,1641,2205,2000,2000,1000,1000
4059,F,MSc or PHd,Married,35,70000,3.0,54896.0,2800.0,3,3,3,3,3,3,51143,53185,55030,56530,55027,58461,3500,3300,3000,0,4500,2500
4060,F,High School Diploma,Single,44,300000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4061,F,BSc,Married,41,60000,1.6666666666666667,48298.166666666664,1983.5,3,1,1,3,1,1,56483,55643,54941,50291,35829,36602,2203,4687,11,1500,1500,2000
4062,F,BSc,Single,44,90000,3.0,18243.5,1366.6666666666667,3,3,3,3,3,3,15089,17023,18451,17857,20256,20785,2500,2000,0,2700,1000,0
4063,F,High School Diploma,Single,50,10000,3.1666666666666665,841.6666666666666,241.66666666666666,4,3,3,3,3,3,600,600,600,600,600,2050,0,0,0,0,1450,0
4064,F,MSc or PHd,Married,51,220000,0.8333333333333334,2666.0,2360.3333333333335,0,0,0,3,3,-1,2262,2255,8105,2224,150,1000,2276,8117,0,150,1000,2619
4065,F,High School Diploma,Married,50,30000,2.1666666666666665,23334.5,9046.5,3,3,3,3,0,1,29468,29688,28919,28000,13393,10539,1000,159,28426,24682,12,0
4066,F,High School Diploma,Single,60,50000,2.0,34034.0,1585.8333333333333,3,3,3,1,1,1,46554,50774,49551,22673,17147,17505,5000,0,2300,1000,635,580
4067,F,BSc,Married,50,350000,1.0,225321.0,9428.333333333334,1,1,1,1,1,1,263390,267494,205636,203844,204114,207448,10532,9219,8797,8004,10012,10006
4068,F,BSc,Married,53,40000,1.6666666666666667,6981.333333333333,773.8333333333334,1,1,3,3,1,1,4621,6527,7776,7502,7651,7811,2150,1500,0,274,283,436
4069,F,High School Diploma,Married,59,50000,-0.5,-513.0,450.0,2,-1,-1,-1,-1,-1,-639,-639,-1800,0,0,0,0,900,1800,0,0,0
4070,F,High School Diploma,Single,63,200000,1.1666666666666667,421.3333333333333,210.66666666666666,0,4,3,0,0,0,632,632,316,316,316,316,0,0,316,316,316,316
4071,F,BSc,Single,61,80000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4072,F,MSc or PHd,Married,56,340000,0.3333333333333333,6241.166666666667,4395.166666666667,0,0,0,0,1,1,5610,5399,12347,8612,5479,0,5399,12353,8619,0,0,0
4073,F,BSc,Married,58,30000,2.8333333333333335,12678.333333333334,782.1666666666666,2,3,3,3,3,3,11223,10746,13545,13531,13017,14008,0,2993,500,0,1200,0
4074,F,High School Diploma,Married,51,10000,5.666666666666667,2400.0,0.0,4,3,3,8,8,8,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0
4075,F,High School Diploma,Married,61,20000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4076,F,BSc,Married,55,50000,1.3333333333333333,31294.833333333332,2446.1666666666665,3,1,1,1,1,1,41696,41768,42561,42871,7606,11267,1674,2079,2001,500,4423,4000
4077,F,BSc,Married,54,110000,2.3333333333333335,93976.66666666667,2865.0,3,3,3,1,1,3,95090,94938,91453,92097,96509,93773,3400,0,3290,7000,0,3500
4078,F,BSc,Married,58,100000,2.0,85451.0,2773.1666666666665,3,3,3,1,1,1,86654,87851,85594,87095,88357,77155,3500,0,3300,2839,3000,4000
4079,F,MSc or PHd,Married,66,230000,-0.5,0.0,23.666666666666668,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,142
4080,F,BSc,Married,55,30000,0.3333333333333333,7284.0,528.6666666666666,1,1,1,1,-1,-1,13532,14647,15525,0,0,0,1647,1525,0,0,0,0
4081,F,BSc,Married,51,160000,1.6666666666666667,72460.83333333333,4333.333333333333,3,1,1,1,3,1,65312,67610,69908,78087,75255,78593,4000,4000,10000,0,5000,3000
4082,M,High School Diploma,Single,23,50000,0.6666666666666666,2558.5,666.6666666666666,0,0,3,1,1,-1,1789,4249,4038,5275,0,0,2500,0,1500,0,0,0
4083,M,MSc or PHd,Single,24,30000,1.3333333333333333,25765.333333333332,1466.6666666666667,3,1,1,1,1,1,29015,27080,25933,26319,28754,17491,1400,1800,1100,3000,500,1000
4084,M,BSc,Married,23,30000,3.0,28993.166666666668,1166.6666666666667,3,3,3,3,3,3,27172,28224,29276,28635,30127,30525,1800,1800,150,2250,1000,0
4085,M,BSc,Single,35,30000,2.3333333333333335,23095.333333333332,1660.1666666666667,3,1,1,3,3,3,18915,20290,24727,24031,25579,25030,2000,5100,0,1949,0,912
4086,M,BSc,Single,24,10000,3.6666666666666665,1050.0,0.0,4,3,3,4,4,4,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
4087,M,BSc,Single,24,140000,0.0,6417.833333333333,7371.333333333333,0,0,0,0,0,0,6312,-148,8431,11034,5040,7838,0,8579,11034,5040,7838,11737
4088,M,BSc,Single,22,10000,2.8333333333333335,8256.333333333334,728.5,2,3,3,3,3,3,6829,6571,8950,8658,9413,9117,0,2500,0,900,0,971
4089,M,BSc,Single,24,100000,1.0,66043.66666666667,4250.0,1,1,1,1,1,1,87478,88627,92187,95030,29470,3470,3500,5000,5000,4000,3000,5000
4090,M,BSc,Single,25,50000,1.5,17632.833333333332,1416.6666666666667,2,3,1,1,1,1,15491,15934,17168,18376,19068,19760,1000,1500,1500,1000,1000,2500
4091,M,High School Diploma,Single,25,30000,1.6666666666666667,26158.833333333332,1539.8333333333333,3,1,1,1,1,3,23421,24228,25331,26347,27508,30118,1500,1500,1439,1600,3200,0
4092,M,BSc,Married,25,50000,1.0,30397.333333333332,1263.0,1,1,1,1,1,1,42238,43259,35307,23096,18970,19514,1807,1405,1366,1000,1000,1000
4093,M,BSc,Single,25,50000,-1.0,-2851.5,0.0,-1,-1,-1,-1,-1,-1,-1587,-5174,-2587,-2587,-2587,-2587,0,0,0,0,0,0
4094,M,MSc or PHd,Single,24,50000,1.6666666666666667,6998.166666666667,950.0,3,1,1,3,1,1,5524,6474,8896,7088,7109,6898,1500,2700,0,500,500,500
4095,M,High School Diploma,Single,26,80000,1.0,55239.666666666664,1961.5,1,1,1,1,1,1,79558,81906,76228,76841,9534,7371,3694,3470,3305,500,300,500
4096,M,BSc,Single,24,110000,3.0,103370.5,3883.3333333333335,3,3,3,3,3,3,98428,101402,104878,105325,102220,107970,5500,6600,3700,0,7500,0
4097,M,BSc,Single,25,110000,1.6666666666666667,33414.166666666664,4233.333333333333,1,1,3,1,1,3,23459,27157,26549,34222,44062,45036,4000,0,9000,10700,1700,0
4098,M,BSc,Single,23,10000,0.8333333333333334,7010.666666666667,5500.0,1,1,0,1,1,1,5583,8959,4408,9071,9038,5005,5000,7000,5000,5000,1000,10000
4099,M,High School Diploma,Single,26,20000,2.3333333333333335,19575.166666666668,1004.1666666666666,4,4,3,1,1,1,21667,21081,19661,26158,13560,15324,0,25,2000,1000,2000,1000
4100,M,MSc or PHd,Single,26,200000,3.0,177260.66666666666,5666.666666666667,3,3,3,3,3,3,196979,200055,202494,162228,154294,147514,7800,7500,0,6700,5000,7000
4101,M,BSc,Single,27,80000,1.0,57757.5,2763.5,1,1,1,1,1,1,81752,80638,45240,43967,45302,49646,3069,2500,2000,2000,5012,2000
4102,M,BSc,Married,26,10000,5.5,2300.0,0.0,4,3,3,8,8,7,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0
4103,M,BSc,Single,26,30000,3.0,14827.0,605.3333333333334,2,4,3,3,3,3,14773,14252,13738,15424,14881,15894,0,0,2226,0,1406,0
4104,M,BSc,Single,26,90000,1.0,21364.833333333332,7436.0,0,3,0,1,1,1,481,1149,39674,38968,39853,8064,1000,39674,1200,1217,1025,500
4105,M,BSc,Single,28,100000,1.0,12750.5,1833.3333333333333,1,1,1,1,1,1,9125,10664,12183,13670,15129,15732,2000,2000,2000,2000,1000,2000
4106,M,BSc,Single,28,70000,2.8333333333333335,27968.166666666668,1183.3333333333333,2,3,3,3,3,3,26357,27223,27492,28738,27977,30022,1600,1000,2000,0,2500,0
4107,M,High School Diploma,Married,30,30000,5.666666666666667,2400.0,0.0,4,3,3,8,8,8,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0
4108,M,High School Diploma,Single,27,80000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4109,M,BSc,Single,29,100000,1.6666666666666667,46638.5,2833.3333333333335,3,1,1,1,1,3,43531,45103,45779,46912,49715,48791,2600,2200,2200,3900,0,6100
4110,M,BSc,Single,27,200000,1.3333333333333333,184810.83333333334,9460.666666666666,3,1,1,1,1,1,189605,191628,180604,181273,180385,185370,14635,10019,8029,7010,10022,7049
4111,M,BSc,Single,27,40000,2.0,44900.0,1413.8333333333333,2,4,3,1,1,1,41520,40568,39620,38464,38569,70659,0,7,2500,1500,1500,2976
4112,M,High School Diploma,Single,29,20000,1.5,12352.166666666666,3583.3333333333335,2,3,1,1,1,1,5957,4909,5865,17935,19353,20094,0,2000,13500,2500,2000,1500
4113,M,BSc,Single,28,60000,2.0,59541.5,5800.0,3,3,3,1,1,1,61743,62197,59892,60228,57969,55220,2800,0,3000,3000,3000,23000
4114,M,BSc,Single,32,50000,0.8333333333333334,2642.5,1327.6666666666667,0,0,3,1,1,0,1473,5486,3787,3246,1473,390,5486,0,1000,0,390,1090
4115,M,High School Diploma,Married,34,130000,2.3333333333333335,71310.16666666667,2518.5,3,3,3,3,1,1,69388,70650,71933,70117,72014,73759,3000,3000,0,3000,3000,3111
4116,M,BSc,Single,25,20000,2.0,16677.333333333332,1184.1666666666667,1,1,3,3,3,1,14193,16489,15936,18015,17431,18000,2850,0,2355,0,1000,900
4117,M,BSc,Single,28,100000,1.6666666666666667,46243.0,2487.5,3,1,1,1,3,1,58566,56770,56300,54288,25759,25775,5100,2825,5000,0,2000,0
4118,M,BSc,Married,38,20000,1.0,13174.0,1901.6666666666667,1,1,1,1,1,1,8337,11191,12219,14009,15773,17515,3000,1210,2000,2000,2000,1200
4119,M,High School Diploma,Married,32,50000,3.1666666666666665,40383.833333333336,2066.6666666666665,3,3,4,3,3,3,38023,39589,40160,40796,41526,42209,2500,1500,1600,1700,1500,3600
4120,M,BSc,Married,34,90000,1.0,74228.66666666667,2432.5,1,1,1,1,1,1,86371,85679,87036,88742,49148,48396,3073,3700,3374,1543,1405,1500
4121,M,MSc or PHd,Single,33,120000,3.0,90745.16666666667,3133.3333333333335,3,3,3,3,3,3,87310,89273,91057,91981,89605,95245,4300,4100,3300,0,7100,0
4122,M,BSc,Single,25,50000,1.0,28954.666666666668,1262.5,1,1,1,1,1,1,43785,38971,34836,18488,19716,17932,1795,1660,1272,1500,644,704
4123,M,BSc,Married,29,100000,3.3333333333333335,86792.33333333333,3650.0,3,3,3,3,4,4,81839,82781,85536,90018,91151,89429,3200,5000,6800,3500,0,3400
4124,M,High School Diploma,Married,36,50000,1.3333333333333333,24840.333333333332,768.6666666666666,3,1,1,1,1,1,47097,46006,36272,11521,2678,5468,1796,1284,1060,100,99,273
4125,M,BSc,Married,44,40000,3.0,26976.833333333332,1600.0,3,3,3,3,3,3,24262,26640,25927,28184,28723,28125,3100,0,2700,1300,0,2500
4126,M,BSc,Married,40,10000,3.6666666666666665,1050.0,0.0,4,3,3,4,4,4,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
4127,M,BSc,Single,32,230000,2.0,238198.0,10806.666666666666,3,1,1,1,3,3,253935,237858,242378,235163,234032,225822,10183,10057,19000,9100,0,16500
4128,M,BSc,Single,44,70000,3.0,45385.166666666664,1922.6666666666667,3,3,3,3,3,3,43314,44325,45375,44350,46996,47951,2025,2051,0,3697,1853,1910
4129,M,MSc or PHd,Married,42,120000,2.0,10567.666666666666,1133.3333333333333,1,1,3,3,3,1,7722,9591,10687,11905,11420,12081,2000,1400,1700,0,1000,700
4130,M,BSc,Married,43,200000,3.1666666666666665,96566.0,3450.0,3,4,3,3,3,3,94529,92126,94772,92368,101837,103764,0,5000,0,12000,3700,0
